Node,Num,X,Y,Z,UX,UY,UZ
311.0,0.00597,0.03,0.0,0.02314746729159604,-0.05505856452821021,-2.385406198155998,
312.0,0.00597,0.033,0.0,0.02734122913565863,-0.05123213201992313,-2.612262030807944,
313.0,0.00597,0.036,0.0,0.03156329236840334,-0.04587716165844251,-2.829720668711584,
314.0,0.00597,0.039,0.0,0.03570910678094245,-0.03907595994781109,-3.036388303189771,
315.0,0.00597,0.042,0.0,0.03979112418474507,-0.03088255429117491,-3.230929264389481,
316.0,0.00597,0.045,0.0,0.04374134876022755,-0.02137574554201286,-3.412080301623257,
317.0,0.00597,0.048,0.0,0.04756096628810904,-0.01062534378194634,-3.578655115384856,
318.0,0.00597,0.051,0.0,0.05120421763590791,0.001286547658061885,-3.729551763630254,
319.0,0.00597,0.054,0.0,0.05466732575316361,0.0142795819956936,-3.863757219112965,
320.0,0.00597,0.057,0.0,0.05791901232671334,0.02826663374061696,-3.980352488141924,
321.0,0.00597,0.06,0.0,0.06095407363762985,0.04315990865930307,-4.078516677845495,
322.0,0.00597,0.063,0.0,0.06375133004634834,0.05886763722837335,-4.157530824335026,
323.0,0.00597,0.066,0.0,0.06630619375164039,0.07529693356302314,-4.216781030545892,
324.0,0.00597,0.069,0.0,0.06860502408521775,0.09235267995355816,-4.255761121877115,
325.0,0.00597,0.072,0.0,0.07064503970412107,0.1099390344502077,-4.274074695492041,
326.0,0.00597,0.075,0.0,0.07241859178287806,0.1279592512817972,-4.271436614404516,
327.0,0.00597,0.078,0.0,0.07392538299730249,0.146316617979341,-4.247673909601358,
328.0,0.00597,0.081,0.0,0.07516277693009578,0.1649146793421102,-4.2027261018371,
329.0,0.00597,0.084,0.0,0.07613331225383957,0.1836579275158249,-4.136644933468769,
330.0,0.00597,0.087,0.0,0.07683869919804268,0.2024521962326608,-4.049593515508962,
