
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  Y     X     Z   

    15290   0.101442622951         0.00000000000        0.500000000000E-002
    15230   0.101442622951         0.00000000000        0.750000000000E-002
    15170   0.101442622951         0.00000000000        0.100000000000E-001
     3818   0.101442622951         0.00000000000        0.125000000000E-001
    11382   0.101442622951         0.00000000000        0.125000000000E-001

   NODE        X                   Y                   Z
       37   0.104426229508         0.00000000000         0.00000000000     
     7781   0.104426229508         0.00000000000         0.00000000000     
    15351   0.104426229508         0.00000000000        0.250000000000E-002
    15291   0.104426229508         0.00000000000        0.500000000000E-002
    15231   0.104426229508         0.00000000000        0.750000000000E-002
    15171   0.104426229508         0.00000000000        0.100000000000E-001
     3819   0.104426229508         0.00000000000        0.125000000000E-001
    11383   0.104426229508         0.00000000000        0.125000000000E-001
       38   0.107409836066         0.00000000000         0.00000000000     
     7782   0.107409836066         0.00000000000         0.00000000000     
    15352   0.107409836066         0.00000000000        0.250000000000E-002
    15292   0.107409836066         0.00000000000        0.500000000000E-002
    15232   0.107409836066         0.00000000000        0.750000000000E-002
    15172   0.107409836066         0.00000000000        0.100000000000E-001
     3820   0.107409836066         0.00000000000        0.125000000000E-001
    11384   0.107409836066         0.00000000000        0.125000000000E-001
       39   0.110393442623         0.00000000000         0.00000000000     
     7783   0.110393442623         0.00000000000         0.00000000000     
    15353   0.110393442623         0.00000000000        0.250000000000E-002
    15293   0.110393442623         0.00000000000        0.500000000000E-002

   NODE        X                   Y                   Z
    15233   0.110393442623         0.00000000000        0.750000000000E-002
    15173   0.110393442623         0.00000000000        0.100000000000E-001
     3821   0.110393442623         0.00000000000        0.125000000000E-001
    11385   0.110393442623         0.00000000000        0.125000000000E-001
       40   0.113377049180         0.00000000000         0.00000000000     
     7784   0.113377049180         0.00000000000         0.00000000000     
    15354   0.113377049180         0.00000000000        0.250000000000E-002
    15294   0.113377049180         0.00000000000        0.500000000000E-002
    15234   0.113377049180         0.00000000000        0.750000000000E-002
    15174   0.113377049180         0.00000000000        0.100000000000E-001
     3822   0.113377049180         0.00000000000        0.125000000000E-001
    11386   0.113377049180         0.00000000000        0.125000000000E-001
       41   0.116360655738         0.00000000000         0.00000000000     
     7785   0.116360655738         0.00000000000         0.00000000000     
    15355   0.116360655738         0.00000000000        0.250000000000E-002
    15295   0.116360655738         0.00000000000        0.500000000000E-002
    15235   0.116360655738         0.00000000000        0.750000000000E-002
    15175   0.116360655738         0.00000000000        0.100000000000E-001
     3823   0.116360655738         0.00000000000        0.125000000000E-001
    11387   0.116360655738         0.00000000000        0.125000000000E-001

   NODE        X                   Y                   Z
       42   0.119344262295         0.00000000000         0.00000000000     
     7786   0.119344262295         0.00000000000         0.00000000000     
    15356   0.119344262295         0.00000000000        0.250000000000E-002
    15296   0.119344262295         0.00000000000        0.500000000000E-002
    15236   0.119344262295         0.00000000000        0.750000000000E-002
    15176   0.119344262295         0.00000000000        0.100000000000E-001
     3824   0.119344262295         0.00000000000        0.125000000000E-001
    11388   0.119344262295         0.00000000000        0.125000000000E-001
       43   0.122327868852         0.00000000000         0.00000000000     
     7787   0.122327868852         0.00000000000         0.00000000000     
    15357   0.122327868852         0.00000000000        0.250000000000E-002
    15297   0.122327868852         0.00000000000        0.500000000000E-002
    15237   0.122327868852         0.00000000000        0.750000000000E-002
    15177   0.122327868852         0.00000000000        0.100000000000E-001
     3825   0.122327868852         0.00000000000        0.125000000000E-001
    11389   0.122327868852         0.00000000000        0.125000000000E-001
       44   0.125311475410         0.00000000000         0.00000000000     
     7788   0.125311475410         0.00000000000         0.00000000000     
    15358   0.125311475410         0.00000000000        0.250000000000E-002
    15298   0.125311475410         0.00000000000        0.500000000000E-002

