,0,1,2,3,4,5,6,7,8,9,pos x,pos y,theta_z,c,r,pos_z,theta_y,UZ - N1 M1,UZ - N1 M2,UZ - N1 M3,UZ - N1 M4,UZ - N2 M4,UZ - N3 M4,UZ - N4 M4,UZ - N2 M3,UZ - N3 M3,UZ - N4 M3,UZ - N2 M2,UZ - N3 M2,UZ - N4 M2,UZ - N2 M1,UZ - N3 M1,UZ - N4 M1
Core damage 220,209.67,349.03,827.04,1034.5,1170.4,1271.0,1603.6,1705.5,1839.0,2010.9,0.0857914913989756,0.1327470939718968,43.36450712768385,0.0219497261580859,0.3494787839198997,0.0064063859378545,3.449820515132311,2.900421805061371,0.3022965484653133,-0.66022485164078,0.004113790459975303,-0.01314717118029686,-0.005206687702908982,0.2697476481039426,-0.4810215332737442,-0.5508730711588568,-1.474915732205361,0.4544057025862243,0.3809260937952587,0.6713099093370155,2.953944153874902,2.93376423728996,2.617029949027091
Core damage 221,209.62,349.03,827.6,1034.4,1170.2,1270.8,1604.8,1702.3,1838.9,2015.5,0.1189266064193472,0.1001437374617332,17.251430737853923,0.02122386568002,0.3243438713354175,0.0060136322998246,3.110167463733739,1.988253787229143,-1.076170384859308,-2.774420621426068,1.302732949437235,1.313953115677226,1.377011931958307,1.151918905185872,-2.770230859895586,-2.831069289517071,-3.013087226567424,-1.089494029297844,-1.08594770569536,-0.7718806016387547,1.991452777632355,1.951791246908191,1.798779758131549
Core damage 222,209.65,349.04,827.07,1034.4,1169.6,1271.0,1604.1,1705.4,1839.1,2016.5,0.071638532464513,0.1265249140898668,9.613713248666444,0.0245086531234389,0.3027928019328152,0.0062901171664032,-3.838000221241275,2.660625223132881,0.8764633311108759,-1.31784767643286,0.2731848755821319,0.3160235520497998,0.3282511878708826,0.4183396329628553,-1.404775881104515,-1.491517351323217,-1.275217595867318,0.8908878703939997,0.8295893991267319,1.386917361673804,2.630805998250632,2.600123987433679,2.677858701858348
Core damage 223,209.58,349.03,826.87,1034.4,1170.2,1270.7,1605.2,1705.3,1839.1,2016.8,0.1123290706818532,0.0526095183021642,157.52175076808237,0.0263218558760081,0.2208111084621463,0.0064415141332942,5.946809854775768,0.8514520327634686,-0.007619640898209384,-2.964802744053714,-0.01481392372252763,-0.005468587000654378,0.1596028896745291,0.2671907888918492,-2.987982824568776,-3.000245466644363,-2.826869651023208,-0.009707383452716987,-0.06286445617157527,-0.1001921919930376,0.8626751597143443,0.8632883418774842,0.7772252666219516
Core damage 224,209.7,349.04,827.15,1034.6,1170.2,1271.0,1604.3,1704.9,1839.1,2013.6,0.1174362645488741,0.1446933309019531,53.49880327603461,0.0193582149759427,0.3473984084536843,0.0061483351059783,-4.879203802314512,3.234149414470874,-1.343391233064715,0.3128954214083632,-0.3865889214095155,-0.3889445383991753,-0.400355239541995,-0.05602086380875922,0.3123217617793023,0.3939815411879612,-0.3527304607018166,-1.351313445072518,-1.279658661973974,-1.10521772621388,3.234251618488271,3.255625859809796,3.023286144544804
Core damage 225,209.66,349.04,827.45,1034.5,1170.5,1270.8,1605.2,1704.1,1839.2,2015.3,0.0966254296614829,0.1032276019758818,106.55037119173404,0.017083608904083,0.2934117833274915,0.0063810775290613,-6.811529472104342,2.145922332628667,0.2639415977872675,-2.473916744786812,0.2756262009865439,0.1874898356633735,0.1919497411016051,0.2796657301571887,-2.487844330914971,-2.498853641367268,-2.758132595629592,0.1921465479573895,0.1932958440726269,0.2115697330181936,2.137821301956269,2.131350729762923,1.977772999064931
Core damage 227,209.47,349.04,827.45,1034.1,1170.2,1270.7,1606.4,1699.1,1839.2,2012.9,0.1045680341865927,0.0739596379182757,6.676242490508173,0.0265694870133136,0.34186846697722,0.0062223261652212,4.63691115162331,1.220420285877073,-0.4723536583129346,-3.266017079382972,-1.160161335466254,-1.144896875021261,-1.086801673324575,-0.01404525507287985,-3.301152022669319,-3.30552664497802,-3.327387000535186,-0.4819341997085652,-0.4608524380009458,-0.02209172588391581,1.272566710688333,1.282821465735773,1.309185701655011
Core damage 228,209.66,349.04,827.49,1034.5,1170.4,1270.8,1605.1,1703.9,1839.3,2015.3,0.0887427577399147,0.1027461945324551,116.7372552237237,0.019766471155844,0.2612815264941844,0.0060359755351237,-0.2940123718354686,2.149282391328105,0.6687698984829318,-2.478281115189146,0.6746775468957401,0.6732748362166322,0.5871793874780924,0.4873239602786371,-2.491077730395103,-2.531397063228581,-2.743263789093552,0.6615436654711023,0.5727652231991407,0.4187968932927232,2.142292848050513,2.118199904876387,1.989332273399598
Core damage 229,209.64,349.04,827.53,1034.4,1169.7,1270.8,1604.5,1703.4,1838.8,2017.5,0.0683757336012249,0.1049024170151631,124.35017171480568,0.0196991226350884,0.3450368366565551,0.0060417860327666,-5.839172748376502,2.145477637559204,1.591908025099714,-2.542246415161351,1.577635367797458,1.372822858187966,1.439578769735686,1.639536832324131,-2.417822267729486,-2.448410171819841,-2.757059512051688,1.535954767528579,1.566881341015719,1.40376325197103,2.204960036023386,2.191309676575449,2.015826880036105
Core damage 230,209.66,349.04,827.49,1034.6,1170.3,1270.8,1604.8,1704.5,1839.2,2017.6,0.0666415527892047,0.0752418302174579,91.98271925429168,0.015649044821756,0.2683076175264869,0.0060238322876822,1.7582321654602575,1.416760253310504,1.020251320602493,-3.331450161575456,-2.008196935645911,-1.999822606873976,-1.983502556659702,-2.136481360291223,-3.331689539230978,-3.333421034236332,-3.334974664148338,1.014611066751656,0.998720678740517,0.9673634210371028,1.413725436901796,1.400732690150641,1.262240707394138
